eventId,startSeconds,stopSeconds,startJulianDate,stopJulianDate,startUtcYear,startUtcMonth,startUtcDay,startUtcHour,startUtcMinute,startUtcSeconds,stopUtcYear,stopUtcMonth,stopUtcDay,stopUtcHour,stopUtcMinute,stopUtcSeconds,eventType
1,662800,663100,2460753.22708333,2460753.23055556,2025,3,18,17,27,0,2025,3,18,17,32,0,3
2,706960,707260,2460753.73819444,2460753.74166667,2025,3,19,5,43,0,2025,3,19,5,48,0,3
3,749380,749680,2460754.22916667,2460754.23263889,2025,3,19,17,30,0,2025,3,19,17,35,0,1
4,835660,835900,2460755.22777778,2460755.23055556,2025,3,20,17,28,0,2025,3,20,17,32,0,3
5,879100,879400,2460755.73055556,2460755.73402778,2025,3,21,5,32,0,2025,3,21,5,37,0,2
6,1001980,1002280,2460757.15277778,2460757.15625,2025,3,22,15,40,0,2025,3,22,15,45,0,1
7,1009180,1009480,2460757.23611111,2460757.23958333,2025,3,22,17,40,0,2025,3,22,17,45,0,1
8,1016380,1016680,2460757.31944444,2460757.32291667,2025,3,22,19,40,0,2025,3,22,19,45,0,3
9,1023580,1023880,2460757.40277778,2460757.40625,2025,3,22,21,40,0,2025,3,22,21,45,0,1
10,1030780,1031080,2460757.48611111,2460757.48958333,2025,3,22,23,40,0,2025,3,22,23,45,0,1
11,1037980,1038280,2460757.56944444,2460757.57291667,2025,3,23,1,40,0,2025,3,23,1,45,0,2
12,1045180,1045480,2460757.65277778,2460757.65625,2025,3,23,3,40,0,2025,3,23,3,45,0,3
13,1052380,1052680,2460757.73611111,2460757.73958333,2025,3,23,5,40,0,2025,3,23,5,45,0,2
14,1059580,1059880,2460757.81944444,2460757.82291667,2025,3,23,7,40,0,2025,3,23,7,45,0,3
15,1104880,1105180,2460758.34375,2460758.34722222,2025,3,23,20,15,0,2025,3,23,20,20,0,1
16,1112080,1112380,2460758.42708333,2460758.43055556,2025,3,23,22,15,0,2025,3,23,22,20,0,3
17,1119280,1119580,2460758.51041667,2460758.51388889,2025,3,24,0,15,0,2025,3,24,0,20,0,2
18,1126480,1126780,2460758.59375,2460758.59722222,2025,3,24,2,15,0,2025,3,24,2,20,0,3
19,1133680,1133980,2460758.67708333,2460758.68055556,2025,3,24,4,15,0,2025,3,24,4,20,0,1
20,1140880,1141180,2460758.76041667,2460758.76388889,2025,3,24,6,15,0,2025,3,24,6,20,0,3
21,1148080,1148380,2460758.84375,2460758.84722222,2025,3,24,8,15,0,2025,3,24,8,20,0,3
22,1155280,1155580,2460758.92708333,2460758.93055556,2025,3,24,10,15,0,2025,3,24,10,20,0,1
23,1162480,1162780,2460759.01041667,2460759.01388889,2025,3,24,12,15,0,2025,3,24,12,20,0,2
24,1169680,1169980,2460759.09375,2460759.09722222,2025,3,24,14,15,0,2025,3,24,14,20,0,1
25,1176880,1177180,2460759.17708333,2460759.18055556,2025,3,24,16,15,0,2025,3,24,16,20,0,2
26,1291180,1291780,2460760.5,2460760.50694444,2025,3,26,0,0,0,2025,3,26,0,10,0,2
27,1357480,1358080,2460761.26736111,2460761.27430556,2025,3,26,18,25,0,2025,3,26,18,35,0,2
28,1400680,1401280,2460761.76736111,2460761.77430556,2025,3,27,6,25,0,2025,3,27,6,35,0,1
29,1443880,1444480,2460762.26736111,2460762.27430556,2025,3,27,18,25,0,2025,3,27,18,35,0,1
